sampler,nfe,err_l2
ddim_quad,30,5.941754228588172
ddim_quad,30,3.7252905504091363
ddim_quad,30,4.6465438379967905
ddim_quad,30,2.3412588241792673
ddim_quad,30,4.268935576577759
ddim_quad,30,4.782348428759439
ddim_quad,30,3.9153890398997957
ddim_quad,30,3.739763595197529
ddim_quad,30,4.987679960938927
ddim_quad,30,2.497050767695962
ddim_quad,30,2.9449422429475245
ddim_quad,30,2.029159373684857
ddim_quad,30,4.847844997209967
ddim_quad,30,4.237048623387924
ddim_quad,30,3.6362195589280213
ddim_quad,30,4.537949836306437
ddim_quad,30,1.5775981143507591
ddim_quad,30,3.1653419463126933
ddim_quad,30,1.8227294129088705
ddim_quad,30,3.2565743937493012
ddim_quad,30,4.215467262199067
ddim_quad,30,5.272830350178742
ddim_quad,30,6.705013512866756
ddim_quad,30,5.478722737938009
ddim_quad,30,4.056448931665086
ddim_quad,30,2.663861202791551
ddim_quad,30,5.379693836976159
ddim_quad,30,4.1613825832652545
ddim_quad,30,2.417729157256012
ddim_quad,30,3.5198877021385098
ddim_quad,30,3.1897358822100115
ddim_quad,30,5.669737574993087
ddim_quad,30,1.9708960097775408
ddim_quad,30,1.5801271158275216
ddim_quad,30,4.218430827276944
ddim_quad,30,7.049464101474395
ddim_quad,30,2.2296445225124457
ddim_quad,30,5.152839164342385
ddim_quad,30,4.8343922519303675
ddim_quad,30,3.5146103493998235
ddim_quad,30,3.4901052888819977
ddim_quad,30,3.898148763795499
ddim_quad,30,2.2392696578351314
ddim_quad,30,5.5488820005605595
ddim_quad,50,1.959577389601611
ddim_quad,50,1.7107007780904109
ddim_quad,50,1.5260257968160766
ddim_quad,50,1.3067204671643682
ddim_quad,50,6.985196179396368
ddim_quad,50,2.9134002770092846
ddim_quad,50,1.471949014833108
ddim_quad,50,2.5929927521209675
ddim_quad,50,4.227392987268519
ddim_quad,50,2.226641306813565
ddim_quad,50,2.2405549550254693
ddim_quad,50,3.0089250598115838
ddim_quad,50,1.6824558827714853
ddim_quad,50,1.3926783663022244
ddim_quad,50,3.4344121095835196
ddim_quad,50,2.2783438531873497
ddim_quad,50,3.9873806676101644
ddim_quad,50,3.61098424384136
ddim_quad,50,5.25180735723459
ddim_quad,50,1.0652374959214435
ddim_quad,50,3.5404913234324424
ddim_quad,50,2.2110646033570864
ddim_quad,50,3.169186346493906
ddim_quad,50,1.4350380329204493
ddim_quad,50,2.6282280572388834
ddim_quad,50,2.9122445885408093
ddim_quad,50,2.232408535836929
ddim_quad,50,2.7881122171789143
ddim_quad,50,2.9887348808565464
ddim_quad,50,1.5519556675915953
ddim_quad,50,1.7731848800955066
ddim_quad,50,1.1300089573076995
ddim_quad,50,2.901856397526725
ddim_quad,50,2.6273768938994677
ddim_quad,50,2.198076707727518
ddim_quad,50,2.7821859998879557
ddim_quad,50,1.0093591764426237
ddim_quad,50,1.8106519396269263
ddim_quad,50,1.2224914484318452
ddim_quad,50,1.9254872371076346
ddim_quad,50,2.8310759153462453
ddim_quad,50,3.1950751131485307
ddim_quad,50,3.5764833836842587
ddim_quad,50,3.466864231660062
ddim_quad,50,2.567606886254831
ddim_quad,50,1.6792928373100715
ddim_quad,50,3.281514182190878
ddim_quad,50,2.3831436101755923
ddim_quad,50,1.5070688725935226
ddim_quad,50,2.1200193887333287
ddim_quad,50,2.012889160010435
ddim_quad,50,3.926956203013383
ddim_quad,50,1.2128473643054227
ddim_quad,50,0.9921381556625343
ddim_quad,50,2.569861505759692
ddim_quad,50,5.7927573256007205
ddim_quad,50,1.3731417168352333
ddim_quad,50,3.084605558146126
ddim_quad,50,3.7763671439908455
ddim_quad,50,2.116258222595338
ddim_quad,50,2.146237167753634
ddim_quad,50,2.348765503971445
ddim_quad,50,1.3860665582639144
ddim_quad,50,2.840844503120088
ddim_quad,80,1.3087528395104728
ddim_quad,80,1.0825554039825842
ddim_quad,80,0.9877886087218382
ddim_quad,80,0.8268979236354473
ddim_quad,80,4.660133159082337
ddim_quad,80,1.852199363577975
ddim_quad,80,0.9378898634761635
ddim_quad,80,1.6664131138524945
ddim_quad,80,3.0080942749515325
ddim_quad,80,1.4248778164344538
ddim_quad,80,1.3394092553660955
ddim_quad,80,1.8654048476978093
ddim_quad,80,1.050910906117042
ddim_quad,80,0.9020789064563968
ddim_quad,80,2.240381042914395
ddim_quad,80,1.418002640873816
ddim_quad,80,2.614285115465979
ddim_quad,80,2.314738499407233
ddim_quad,80,3.3016631083806844
ddim_quad,80,0.6798419243077933
ddim_quad,80,2.2512773326776165
ddim_quad,80,1.4231963848178528
ddim_quad,80,2.194606448980036
ddim_quad,80,0.9000715122564649
ddim_quad,80,1.6937536010776177
ddim_quad,80,1.9623832334747646
ddim_quad,80,1.4501604724863653
ddim_quad,80,2.242519142567038
ddim_quad,80,1.9167509072721227
ddim_quad,80,0.9579483883147376
ddim_quad,80,1.1158027257474377
ddim_quad,80,0.7375181394424091
ddim_quad,80,1.8212270941701079
ddim_quad,80,1.7541671654866273
ddim_quad,80,1.3932913421796422
ddim_quad,80,1.7879920693341276
ddim_quad,80,0.6330555896442394
ddim_quad,80,1.1299665493075453
ddim_quad,80,0.8011168685467923
ddim_quad,80,1.2635707026982113
ddim_quad,80,1.8837417313249059
ddim_quad,80,2.0946488106478225
ddim_quad,80,1.8588492623029516
ddim_quad,80,2.3493586227459993
ddim_quad,80,1.7174501352603178
ddim_quad,80,1.060702753738945
ddim_quad,80,2.1220911950933306
ddim_quad,80,1.4806320006861131
ddim_quad,80,0.9644840808424368
ddim_quad,80,1.3723656519550467
ddim_quad,80,1.313587391967838
ddim_quad,80,2.769661579536963
ddim_quad,80,0.778513122730381
ddim_quad,80,0.613231459924315
ddim_quad,80,1.6519924638895327
ddim_quad,80,2.218128477084756
ddim_quad,80,0.8752818990210561
ddim_quad,80,1.964784494711842
ddim_quad,80,3.1953309354197876
ddim_quad,80,1.3442149961722458
ddim_quad,80,1.3721075758091164
ddim_quad,80,1.4990626098177828
ddim_quad,80,0.8639420463655317
ddim_quad,80,1.743828885671026
ddim_quad,120,0.8834279037674195
ddim_quad,120,0.7329582654686051
ddim_quad,120,0.6729933525971058
ddim_quad,120,0.5457854391030057
ddim_quad,120,3.047652685280753
ddim_quad,120,1.2530213781889075
ddim_quad,120,0.6067274966362572
ddim_quad,120,1.08430557575076
