s,nfe,method,err
0.002154434690031882,50,rk2_t,0.0007740692994425459
0.002154434690031882,50,rk2_lam,0.00027944940634590763
0.004641588833612777,10,dpm1,0.0018099260269322714
0.004641588833612777,10,euler_t,0.001094951223390251
0.004641588833612777,10,euler_lam,0.007233070482882473
0.004641588833612777,10,dpm2,0.0023034724884121397
0.004641588833612777,10,rk2_t,0.012490562416077298
0.004641588833612777,10,rk2_lam,0.012306405155884943
0.004641588833612777,20,dpm1,0.0009573515064558212
0.004641588833612777,20,euler_t,0.0025185643398066247
0.004641588833612777,20,euler_lam,0.003602139035555038
0.004641588833612777,20,dpm2,0.0005660371486066566
0.004641588833612777,20,rk2_t,0.0037353398871725098
0.004641588833612777,20,rk2_lam,0.0022941878836696284
0.004641588833612777,50,dpm1,0.0003963029187312242
0.004641588833612777,50,euler_t,0.0014632200500219504
0.004641588833612777,50,euler_lam,0.0014191875128773462
0.004641588833612777,50,dpm2,8.291781747401215e-05
0.004641588833612777,50,rk2_t,0.0006838308642132234
0.004641588833612777,50,rk2_lam,0.0003064936819875408
0.01,10,dpm1,0.0026696239596920423
0.01,10,euler_t,0.0028307031957006436
0.01,10,euler_lam,0.00912830102192511
0.01,10,dpm2,0.0035820059170371503
0.01,10,rk2_t,0.01353995973499299
0.01,10,rk2_lam,0.010496853188865847
0.01,20,dpm1,0.001412688477042949
0.01,20,euler_t,0.0032917074503447837
0.01,20,euler_lam,0.004296813893316044
0.01,20,dpm2,0.0008367357545844053
0.01,20,rk2_t,0.003810659269567706
0.01,20,rk2_lam,0.0021026087850413
0.01,50,dpm1,0.0005851428053494714
0.01,50,euler_t,0.0016118099799628527
0.01,50,euler_lam,0.0016587570848722866
0.01,50,dpm2,0.0001223757180617447
0.01,50,rk2_t,0.0004583546784434449
0.01,50,rk2_lam,0.0003144567027447004
0.021544346900318822,10,dpm1,0.0039246906601227895
0.021544346900318822,10,euler_t,0.004261535695924443
0.021544346900318822,10,euler_lam,0.01063561301363169
0.021544346900318822,10,dpm2,0.005867128644830244
0.021544346900318822,10,rk2_t,0.013705809399276885
0.021544346900318822,10,rk2_lam,0.007842637029698282
0.021544346900318822,20,dpm1,0.002078696689003595
0.021544346900318822,20,euler_t,0.003545965379530936
0.021544346900318822,20,euler_lam,0.004802466988314439
0.021544346900318822,20,dpm2,0.0012292734550586534
0.021544346900318822,20,rk2_t,0.0031934500928293384
0.021544346900318822,20,rk2_lam,0.0016787672415466172
0.021544346900318822,50,dpm1,0.0008612523256504231
0.021544346900318822,50,euler_t,0.0015825802006622126
0.021544346900318822,50,euler_lam,0.0018258947984531697
0.021544346900318822,50,dpm2,0.0001800816750151188
0.021544346900318822,50,rk2_t,0.00028077053250269435
0.021544346900318822,50,rk2_lam,0.00029164268862519674
0.046415888336127774,10,dpm1,0.0057641851801787485
0.046415888336127774,10,euler_t,0.004737240895416928
0.046415888336127774,10,euler_lam,0.01103865993890851
0.046415888336127774,10,dpm2,0.008747101189059584
0.046415888336127774,10,rk2_t,0.012181372557282615
0.046415888336127774,10,rk2_lam,0.004188513154403894
0.046415888336127774,20,dpm1,0.0030546348194651213
0.046415888336127774,20,euler_t,0.0032033424570362817
0.046415888336127774,20,euler_lam,0.0048705486209752215
0.046415888336127774,20,dpm2,0.0018043016190823942
0.046415888336127774,20,rk2_t,0.0022031398299666646
0.046415888336127774,20,rk2_lam,0.0010529781564857128
0.046415888336127774,50,dpm1,0.0012657757836687308
0.046415888336127774,50,euler_t,0.0013930144000402558
0.046415888336127774,50,euler_lam,0.0018372083857066054
0.046415888336127774,50,dpm2,0.0002646369661813523
0.046415888336127774,50,rk2_t,0.00019660943678549356
0.046415888336127774,50,rk2_lam,0.00023171802873769853
0.1,10,dpm1,0.008470475389127582
0.1,10,euler_t,0.003862971483176887
0.1,10,euler_lam,0.009570121273282623
0.1,10,dpm2,0.011656869263940786
0.1,10,rk2_t,0.008881952795626855
0.1,10,rk2_lam,1.0095090682546437e-05
0.1,20,dpm1,0.004485990197237791
0.1,20,euler_t,0.0024071228163045494
0.1,20,euler_lam,0.004246853169851662
0.1,20,dpm2,0.0026563983912512926
0.1,20,rk2_t,0.0013948254925808881
